iter	Passed	Remaining
741	16114	5603
742	16137	5581
743	16158	5559
744	16178	5537
745	16199	5515
746	16223	5494
747	16244	5472
748	16264	5450
749	16285	5428
750	16306	5406
751	16328	5384
752	16351	5363
753	16373	5342
754	16394	5320
755	16415	5297
756	16435	5275
757	16456	5253
758	16477	5231
759	16499	5210
760	16520	5188
761	16541	5166
762	16561	5144
763	16582	5122
764	16604	5100
765	16625	5078
766	16646	5056
767	16666	5034
768	16686	5012
769	16707	4990
770	16728	4968
771	16749	4946
772	16770	4924
773	16793	4903
774	16814	4881
775	16835	4859
776	16855	4837
777	16875	4815
778	16897	4793
779	16922	4773
780	16948	4752
781	16974	4732
782	16999	4711
783	17025	4690
784	17048	4669
785	17070	4647
786	17092	4626
787	17112	4603
788	17135	4582
789	17157	4560
790	17180	4539
791	17200	4517
792	17222	4495
793	17245	4474
794	17268	4452
795	17290	4431
796	17313	4409
797	17334	4387
798	17356	4366
799	17377	4344
800	17400	4322
801	17420	4300
802	17440	4278
803	17461	4256
804	17482	4234
805	17504	4213
806	17525	4191
807	17545	4169
808	17568	4147
809	17590	4126
810	17609	4103
811	17632	4082
812	17654	4060
813	17678	4039
814	17699	4017
815	17722	3996
816	17744	3974
817	17764	3952
818	17784	3930
819	17804	3908
820	17825	3886
821	17847	3864
822	17870	3843
823	17891	3821
824	17913	3799
825	17934	3778
826	17955	3756
827	17975	3734
828	17998	3712
829	18021	3691
830	18043	3669
831	18067	3648
832	18088	3626
833	18109	3604
834	18129	3582
835	18151	3560
836	18174	3539
837	18196	3517
838	18216	3495
839	18237	3473
840	18257	3451
841	18277	3429
842	18298	3407
843	18320	3386
844	18342	3364
845	18363	3342
846	18382	3320
847	18404	3298
848	18438	3279
849	18463	3258
850	18484	3236
851	18503	3214
852	18525	3192
853	18544	3170
854	18564	3148
855	18585	3126
856	18605	3104
857	18629	3083
858	18649	3061
859	18669	3039
860	18690	3017
861	18710	2995
862	18730	2973
863	18751	2951
864	18772	2929
865	18792	2907
866	18812	2885
867	18833	2864
868	18853	2842
869	18874	2820
870	18895	2798
871	18914	2776
872	18935	2754
873	18955	2732
874	18975	2710
875	18996	2688
876	19017	2667
877	19038	2645
878	19057	2623
879	19079	2601
880	19099	2579
881	19122	2558
882	19142	2536
883	19163	2514
884	19183	2492
885	19204	2471
886	19225	2449
887	19245	2427
888	19265	2405
889	19286	2383
890	19306	2361
891	19327	2340
892	19347	2318
893	19367	2296
894	19389	2274
895	19409	2252
896	19429	2231
897	19450	2209
898	19471	2187
899	19491	2165
900	19511	2143
901	19531	2122
902	19553	2100
903	19574	2078
904	19594	2056
905	19615	2035
906	19634	2013
907	19655	1991
908	19675	1969
909	19696	1947
910	19716	1926
911	19737	1904
912	19757	1882
913	19778	1860
914	19798	1839
915	19818	1817
916	19839	1795
917	19860	1774
918	19880	1752
919	19900	1730
920	19920	1708
921	19940	1686
922	19960	1665
923	19982	1643
924	20002	1621
925	20022	1600
926	20042	1578
927	20063	1556
928	20083	1534
929	20103	1513
930	20125	1491
931	20146	1469
932	20167	1448
933	20187	1426
934	20206	1404
935	20228	1383
936	20249	1361
937	20270	1339
938	20289	1318
939	20309	1296
940	20330	1274
941	20350	1253
942	20370	1231
943	20391	1209
944	20411	1187
945	20433	1166
946	20452	1144
947	20473	1123
948	20494	1101
949	20514	1079
950	20536	1058
951	20557	1036
952	20577	1014
953	20596	993
954	20619	971
955	20639	949
956	20659	928
957	20679	906
958	20698	884
959	20719	863
960	20738	841
961	20759	820
962	20780	798
963	20800	776
964	20820	755
965	20840	733
966	20860	711
967	20881	690
968	20901	668
969	20921	647
970	20942	625
971	20961	603
972	20982	582
973	21001	560
974	21021	539
975	21041	517
976	21062	495
