 '86' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.038, 'method': 'reranked_own_rec', 'precision': 0.19007832898172325}
 '87' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.039, 'method': 'reranked_own_rec', 'precision': 0.18778067885117494}
 '88' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.04, 'method': 'reranked_own_rec', 'precision': 0.1889295039164491}
 '89' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.041, 'method': 'reranked_own_rec', 'precision': 0.19028720626631854}
 '90' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.042, 'method': 'reranked_own_rec', 'precision': 0.18903394255874673}
 '91' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.043000000000000003, 'method': 'reranked_own_rec', 'precision': 0.19331592689295038}
 '92' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.044, 'method': 'reranked_own_rec', 'precision': 0.18986945169712796}
 '93' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.045, 'method': 'reranked_own_rec', 'precision': 0.18631853785900787}
 '94' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.046, 'method': 'reranked_own_rec', 'precision': 0.19300261096605745}
 '95' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.047, 'method': 'reranked_own_rec', 'precision': 0.18945169712793733}
 '96' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.048, 'method': 'reranked_own_rec', 'precision': 0.1883028720626632}
 '97' = {dict: 5} {'max_depth': 5, 'num_leaves': 10, 'num_lrate': 0.049, 'method': 'reranked_own_rec', 'precision': 0.19342036553524802}
 '98' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.001, 'method': 'reranked_own_rec', 'precision': 0.19446475195822452}
 '99' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.002, 'method': 'reranked_own_rec', 'precision': 0.19488250652741515}
 '100' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.003, 'method': 'reranked_own_rec', 'precision': 0.19425587467362923}
 '101' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.004, 'method': 'reranked_own_rec', 'precision': 0.19456919060052222}
 '102' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.005, 'method': 'reranked_own_rec', 'precision': 0.1949869451697128}
 '103' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.006, 'method': 'reranked_own_rec', 'precision': 0.19425587467362923}
 '104' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.007, 'method': 'reranked_own_rec', 'precision': 0.19550913838120107}
 '105' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.008, 'method': 'reranked_own_rec', 'precision': 0.19436031331592693}
 '106' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.009000000000000001, 'method': 'reranked_own_rec', 'precision': 0.1939425587467363}
 '107' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.01, 'method': 'reranked_own_rec', 'precision': 0.19477806788511753}
 '108' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.011, 'method': 'reranked_own_rec', 'precision': 0.1914360313315927}
 '109' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.012, 'method': 'reranked_own_rec', 'precision': 0.1887206266318538}
 '110' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.013000000000000001, 'method': 'reranked_own_rec', 'precision': 0.19049608355091385}
 '111' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.014, 'method': 'reranked_own_rec', 'precision': 0.1887206266318538}
 '112' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.015, 'method': 'reranked_own_rec', 'precision': 0.19300261096605745}
 '113' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.016, 'method': 'reranked_own_rec', 'precision': 0.18892950391644908}
 '114' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.017, 'method': 'reranked_own_rec', 'precision': 0.1876762402088773}
 '115' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.018000000000000002, 'method': 'reranked_own_rec', 'precision': 0.18736292428198434}
 '116' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.019, 'method': 'reranked_own_rec', 'precision': 0.18684073107049612}
 '117' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.02, 'method': 'reranked_own_rec', 'precision': 0.19007832898172325}
 '118' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.021, 'method': 'reranked_own_rec', 'precision': 0.18882506527415144}
 '119' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.022, 'method': 'reranked_own_rec', 'precision': 0.1899738903394256}
 '120' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.023, 'method': 'reranked_own_rec', 'precision': 0.18872062663185377}
 '121' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.024, 'method': 'reranked_own_rec', 'precision': 0.18746736292428198}
 '122' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.025, 'method': 'reranked_own_rec', 'precision': 0.18861618798955612}
 '123' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.026000000000000002, 'method': 'reranked_own_rec', 'precision': 0.18631853785900784}
 '124' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.027, 'method': 'reranked_own_rec', 'precision': 0.18882506527415144}
 '125' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.028, 'method': 'reranked_own_rec', 'precision': 0.18798955613577023}
 '126' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.029, 'method': 'reranked_own_rec', 'precision': 0.1868407310704961}
 '127' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.03, 'method': 'reranked_own_rec', 'precision': 0.18746736292428198}
 '128' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.031, 'method': 'reranked_own_rec', 'precision': 0.1880939947780679}
 '129' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.032, 'method': 'reranked_own_rec', 'precision': 0.18861618798955615}
 '130' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.033, 'method': 'reranked_own_rec', 'precision': 0.18694516971279374}
 '131' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.034, 'method': 'reranked_own_rec', 'precision': 0.1887206266318538}
 '132' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.035, 'method': 'reranked_own_rec', 'precision': 0.19383812010443863}
 '133' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.036000000000000004, 'method': 'reranked_own_rec', 'precision': 0.18945169712793733}
 '134' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.037, 'method': 'reranked_own_rec', 'precision': 0.18872062663185377}
 '135' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.038, 'method': 'reranked_own_rec', 'precision': 0.19007832898172325}
 '136' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.039, 'method': 'reranked_own_rec', 'precision': 0.18767624020887727}
 '137' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.04, 'method': 'reranked_own_rec', 'precision': 0.18861618798955615}
 '138' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.041, 'method': 'reranked_own_rec', 'precision': 0.19018276762402092}
 '139' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.042, 'method': 'reranked_own_rec', 'precision': 0.18903394255874673}
 '140' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.043000000000000003, 'method': 'reranked_own_rec', 'precision': 0.19331592689295038}
 '141' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.044, 'method': 'reranked_own_rec', 'precision': 0.18986945169712796}
 '142' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.045, 'method': 'reranked_own_rec', 'precision': 0.1866318537859008}
 '143' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.046, 'method': 'reranked_own_rec', 'precision': 0.19300261096605745}
 '144' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.047, 'method': 'reranked_own_rec', 'precision': 0.18945169712793733}
 '145' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.048, 'method': 'reranked_own_rec', 'precision': 0.1883028720626632}
 '146' = {dict: 5} {'max_depth': 5, 'num_leaves': 12, 'num_lrate': 0.049, 'method': 'reranked_own_rec', 'precision': 0.19342036553524802}
 '147' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.001, 'method': 'reranked_own_rec', 'precision': 0.19446475195822452}
 '148' = {dict: 5} {'max_depth': 5, 'num_leaves': 14, 'num_lrate': 0.002, 'method': 'reranked_own_rec', 'precision': 0.19488250652741515}
